,Enemy training group,Algorithm,Run,Repetition,Enemy,Energy enemy,Enegy player
130,1,Roulette,4,1,3,70.0,0
131,1,Roulette,4,2,3,70.0,0
132,1,Roulette,4,3,3,70.0,0
133,1,Roulette,4,4,3,70.0,0
134,1,Roulette,4,5,3,70.0,0
135,1,Roulette,4,1,4,80.0,0
136,1,Roulette,4,2,4,80.0,0
137,1,Roulette,4,3,4,80.0,0
138,1,Roulette,4,4,4,80.0,0
139,1,Roulette,4,5,4,80.0,0
140,1,Roulette,4,1,5,0,37.60000000000028
141,1,Roulette,4,2,5,0,25.00000000000025
142,1,Roulette,4,3,5,0,46.0000000000003
143,1,Roulette,4,4,5,0,47.8000000000003
144,1,Roulette,4,5,5,0,41.20000000000029
145,1,Roulette,4,1,6,90.0,0
146,1,Roulette,4,2,6,90.0,0
147,1,Roulette,4,3,6,90.0,0
148,1,Roulette,4,4,6,90.0,0
149,1,Roulette,4,5,6,90.0,0
150,1,Roulette,4,1,7,0,48.400000000000304
151,1,Roulette,4,2,7,0,48.400000000000304
152,1,Roulette,4,3,7,0,48.400000000000304
153,1,Roulette,4,4,7,0,48.400000000000304
154,1,Roulette,4,5,7,0,48.400000000000304
155,1,Roulette,4,1,8,0,43.60000000000029
156,1,Roulette,4,2,8,0,43.60000000000029
157,1,Roulette,4,3,8,0,43.60000000000029
158,1,Roulette,4,4,8,0,43.60000000000029
159,1,Roulette,4,5,8,0,43.60000000000029
160,1,Roulette,5,1,1,80.0,0
161,1,Roulette,5,2,1,80.0,0
162,1,Roulette,5,3,1,80.0,0
163,1,Roulette,5,4,1,80.0,0
164,1,Roulette,5,5,1,80.0,0
165,1,Roulette,5,1,2,0,28
166,1,Roulette,5,2,2,0,28
167,1,Roulette,5,3,2,0,28
168,1,Roulette,5,4,2,0,28
169,1,Roulette,5,5,2,0,28
170,1,Roulette,5,1,3,90.0,0
171,1,Roulette,5,2,3,90.0,0
172,1,Roulette,5,3,3,90.0,0
173,1,Roulette,5,4,3,90.0,0
174,1,Roulette,5,5,3,90.0,0
175,1,Roulette,5,1,4,80.0,0
176,1,Roulette,5,2,4,80.0,0
177,1,Roulette,5,3,4,80.0,0
178,1,Roulette,5,4,4,80.0,0
179,1,Roulette,5,5,4,80.0,0
180,1,Roulette,5,1,5,0,35.800000000000274
181,1,Roulette,5,2,5,0,59.80000000000033
182,1,Roulette,5,3,5,0,35.800000000000274
183,1,Roulette,5,4,5,30.0,0
184,1,Roulette,5,5,5,0,11.80000000000023
185,1,Roulette,5,1,6,90.0,0
186,1,Roulette,5,2,6,90.0,0
187,1,Roulette,5,3,6,90.0,0
188,1,Roulette,5,4,6,90.0,0
189,1,Roulette,5,5,6,90.0,0
190,1,Roulette,5,1,7,0,23.800000000000246
191,1,Roulette,5,2,7,0,23.800000000000246
192,1,Roulette,5,3,7,0,23.800000000000246
193,1,Roulette,5,4,7,0,23.800000000000246
194,1,Roulette,5,5,7,0,23.800000000000246
195,1,Roulette,5,1,8,0,45.4000000000003
196,1,Roulette,5,2,8,0,45.4000000000003
197,1,Roulette,5,3,8,0,45.4000000000003
198,1,Roulette,5,4,8,0,45.4000000000003
199,1,Roulette,5,5,8,0,45.4000000000003
200,1,Roulette,6,1,1,80.0,0
201,1,Roulette,6,2,1,80.0,0
202,1,Roulette,6,3,1,80.0,0
203,1,Roulette,6,4,1,80.0,0
204,1,Roulette,6,5,1,80.0,0
205,1,Roulette,6,1,2,0,8
206,1,Roulette,6,2,2,0,8
207,1,Roulette,6,3,2,0,8
208,1,Roulette,6,4,2,0,8
209,1,Roulette,6,5,2,0,8
210,1,Roulette,6,1,3,90.0,0
211,1,Roulette,6,2,3,90.0,0
212,1,Roulette,6,3,3,90.0,0
213,1,Roulette,6,4,3,90.0,0
214,1,Roulette,6,5,3,90.0,0
215,1,Roulette,6,1,4,80.0,0
216,1,Roulette,6,2,4,80.0,0
217,1,Roulette,6,3,4,80.0,0
218,1,Roulette,6,4,4,80.0,0
219,1,Roulette,6,5,4,80.0,0
220,1,Roulette,6,1,5,70.0,88.60000000000011
221,1,Roulette,6,2,5,80.0,89.8000000000001
222,1,Roulette,6,3,5,80.0,89.8000000000001
223,1,Roulette,6,4,5,80.0,89.2000000000001
224,1,Roulette,6,5,5,80.0,89.2000000000001
225,1,Roulette,6,1,6,100,0
226,1,Roulette,6,2,6,100,0
227,1,Roulette,6,3,6,100,0
228,1,Roulette,6,4,6,100,0
229,1,Roulette,6,5,6,100,0
230,1,Roulette,6,1,7,0,11.20000000000023
231,1,Roulette,6,2,7,0,11.20000000000023
232,1,Roulette,6,3,7,0,11.20000000000023
233,1,Roulette,6,4,7,0,11.20000000000023
234,1,Roulette,6,5,7,0,11.20000000000023
235,1,Roulette,6,1,8,0,45.4000000000003
236,1,Roulette,6,2,8,0,45.4000000000003
237,1,Roulette,6,3,8,0,45.4000000000003
238,1,Roulette,6,4,8,0,45.4000000000003
239,1,Roulette,6,5,8,0,45.4000000000003
240,1,Roulette,7,1,1,80.0,0
241,1,Roulette,7,2,1,80.0,0
242,1,Roulette,7,3,1,80.0,0
243,1,Roulette,7,4,1,80.0,0
244,1,Roulette,7,5,1,80.0,0
245,1,Roulette,7,1,2,0,32
246,1,Roulette,7,2,2,0,32
247,1,Roulette,7,3,2,0,32
248,1,Roulette,7,4,2,0,32
249,1,Roulette,7,5,2,0,32
250,1,Roulette,7,1,3,70.0,0
251,1,Roulette,7,2,3,70.0,0
252,1,Roulette,7,3,3,70.0,0
253,1,Roulette,7,4,3,70.0,0
254,1,Roulette,7,5,3,70.0,0
255,1,Roulette,7,1,4,70.0,0
256,1,Roulette,7,2,4,70.0,0
257,1,Roulette,7,3,4,70.0,0
258,1,Roulette,7,4,4,70.0,0
259,1,Roulette,7,5,4,70.0,0
260,1,Roulette,7,1,5,0,59.80000000000033
261,1,Roulette,7,2,5,0,59.80000000000033
262,1,Roulette,7,3,5,0,59.80000000000033
263,1,Roulette,7,4,5,0,60.40000000000033
264,1,Roulette,7,5,5,0,61.000000000000334
265,1,Roulette,7,1,6,100,0
266,1,Roulette,7,2,6,100,0
267,1,Roulette,7,3,6,100,0
268,1,Roulette,7,4,6,100,0
269,1,Roulette,7,5,6,100,0
270,1,Roulette,7,1,7,0,56.800000000000324
271,1,Roulette,7,2,7,0,56.800000000000324
272,1,Roulette,7,3,7,0,56.800000000000324
273,1,Roulette,7,4,7,0,56.800000000000324
274,1,Roulette,7,5,7,0,56.800000000000324
275,1,Roulette,7,1,8,0,48.400000000000304
276,1,Roulette,7,2,8,0,48.400000000000304
277,1,Roulette,7,3,8,0,48.400000000000304
278,1,Roulette,7,4,8,0,48.400000000000304
279,1,Roulette,7,5,8,0,48.400000000000304
280,1,Roulette,8,1,1,100,0
281,1,Roulette,8,2,1,100,0
282,1,Roulette,8,3,1,100,0
283,1,Roulette,8,4,1,100,0
284,1,Roulette,8,5,1,100,0
285,1,Roulette,8,1,2,0,30
286,1,Roulette,8,2,2,0,30
287,1,Roulette,8,3,2,0,30
288,1,Roulette,8,4,2,0,30
289,1,Roulette,8,5,2,0,30
290,1,Roulette,8,1,3,80.0,0
291,1,Roulette,8,2,3,80.0,0
292,1,Roulette,8,3,3,80.0,0
293,1,Roulette,8,4,3,80.0,0
294,1,Roulette,8,5,3,80.0,0
295,1,Roulette,8,1,4,90.0,0
296,1,Roulette,8,2,4,90.0,0
297,1,Roulette,8,3,4,90.0,0
298,1,Roulette,8,4,4,90.0,0
299,1,Roulette,8,5,4,90.0,0
300,1,Roulette,8,1,5,90.0,0
301,1,Roulette,8,2,5,90.0,0
302,1,Roulette,8,3,5,90.0,0
